,ID_INTERVISTATO,OVS.7_10_E_SMS
3573,6285_9_8d6eab70deb6f38628ba773d19cf3099,Servizio veloce e operatore telefonico gentilissimo preparato ed educatissim0
3575,6285_9_8d913004deff6365f3fb0052473adabc,Sono rimasto senza collegamento ad internet per 3 giorni..... io lavoro con il computer e Sky non era al massimo!!!!
3576,6285_9_8d93244430c37751a6f9b6fca873a2b2,Rapidità di intervento
3579,6285_9_8da3346ae88abc201fe7349047bd5760,"Ho dato questo voto perché operatori italiani con cui si dialoga bene,altrimenti insufficiente se rispondono da Romania o altri siti esteri"
3580,6285_9_8db1d9793f350fd8d1dae4b665ce8525,L'operatore è stato molto gentile e l'assistenza è stata veloce e risolutiva
3581,6285_9_8dce1119cdf2c93e791507aa068b6116,"La cordialità e disponibilità dell'operatore mi hanno particolarmente colpito, educazione e preparazione, celerità nel rendersi disponibile a risolvere il problema che alla fine è stato risolto subito"
3582,6285_9_8dd70ce352c8e3875967f52790c29a3b,l intervento è stato esaustivo
3583,6285_9_8df2ba152f9483aea6cbeeddd8269665,Quasi perfetto per il meccanismo complicato per individuare l'operatore con cui parlare.
3584,6285_9_8e048d3a41283b8875acca39827dead1,Perché per questa volta è andato tutto a buon fine
3587,6285_9_8e4378ff51aaca8cf035bba71db362ff,Perché sodisfatto del servizio
3589,6285_9_8e5477c2d22dcef1b37a967c2076f1ae,Per la cortesia e la bravura degli operatori. Ma rimane il problema di pagare le bollette ogni 8 settimane. Per questo darei un voto 4 solo al Management di TIM e di tutti gli altri vari Operatori
3590,6285_9_8e6323da6ecc6098f521dc6bf06f4b5f,"Ho contattato per lo stesso problema più volte il 187, ma solo l'ultimo operatore ha compreso di cosa si trattasse e mi ha fornito la soluzione (il cambio del modem). In definitiva ha avuto ascoltarmi"
3592,6285_9_8e854b9142239ea756d7b3342f15119c,Assistenza eccellente
3595,6285_9_8ea7a18edc181dbf4c6b945c1dc254d9,I operatori sono stati bravissimi e gentilissimi
3596,6285_9_8eb37ba862168e4096686f9eb836dd49,Perché il problema è stato risolto .
3598,6285_9_8ecf331fda9e35ea5aefa79ef1cd6592,Perché ho dovuto fare 4 telefonate prima di trovare l'operatore efficiente che ha ascoltato l'esposizione del problema e lo ha risolto nel corso della stessa telefonata.
3600,6285_9_8ee3c312437027c43e313c1e8d6923d8,Per la disponibilità e gentilezza degli operatori contattati
3601,6285_9_8eef24d66934cc82ee1ff561f647f822,"Per la competenza e la precisione dei tempi, oltre alla gentilezza mostrata."
3602,6285_9_8ef198135aabdf48533c1c137276fb31,"Sollecita e professionale, grande educazione e preparazione del tecnico"
3604,6285_9_8f030e94dca41abc9b3f4a3b497170cf,È stato un eccellente e veloce risoluzione
3608,6285_9_8f159a0938fab1e721f7db53d8907e5b,Intervento ok
3611,6285_9_8f2dba938dd416766a4de8587811138a,Sono rimasto soddisfatto del servizio prestato.
3612,6285_9_8f4c76e211c9537312afaaf55d4ed423,Perché l'operatore è stato chiaro nell'esprimersi e veloce
3613,6285_9_8f5263e7c62d51e083e8029f0e43ef3f,"Ha risposto operatore dall Italia, cortese, mi ha fatto attendere in linea ed ha risolto il problema. Graie"
3615,6285_9_8f60c3d1fa6e631ec762b7e607cb9057,Mi sono trovata bene
3616,6285_9_8f6aa3d82b7aaf0661ae1c722da743aa,Il servizio è stato veloce ed efficiente nonostante ci fossero le feste
3618,6285_9_8f96db207b4bc99686456a8081b64aef,Perché ho riscontrato pazienza e gentilezza da parte del tecnico che mi forniva assistenza
3622,6285_9_8fd9f5b410dd35d4505c087c00c4ddfe,Sono rimasta soddisfatta perche tutto è stato risolto velocemente
3623,6285_9_8fe33be2c7f062696b7f4a971b9a38fc,Ottimo e niente da comunicare. Perfetto.
3624,6285_9_8fef8850c040d128610e6a576a49ac42,Perché soddisfatto della cortesia e tempistica
3625,6285_9_8ff301c931dca909f29c1a5e92f8e8fd,Semplicità rapidità e....lingua italiana
3626,6285_9_8ff61123a88cde3a093fe1c9212ea83e,L'operatore era preparato per la soluzione del problema e molto educato.
3629,6285_9_9006c41d8eff4e52ca0edec91d3c6179,Perché sono rimasto soddisfatto del servizio ma vorrei che fosse ancora più facile comunicare con l'assistenza
3630,6285_9_9018e54976eca0c45fc457d3bef09796,Cortesi dell’operatore e rapidità nella risoluzione
3632,6285_9_9021109b42bb8439e3478b4342f93435,Il problema è stato risolto in tempi brevi ed il tecnico era competente
3633,6285_9_90378be2d1a6dac3a80073ddb3569ce7,Nessun motivo
3634,6285_9_9039b875c5922968eef5d9f02d694081,Efficenzs
3635,6285_9_9041734636046ca12f179a2d29cd6d15,Xché  mi ha spiegato bene ed è  stato gentile
3639,6285_9_905530df913d5fc51d887edc6156fc67,Perché mi ritengo soddisfatto
3640,6285_9_9055bd505c60c263f01ccb76a3551318,Molto gentile ed efficiente
3642,6285_9_905fbb37e059f1f0f45d18ef13c107e9,"É solo un problema commerciale e non tecnica. L'ultima operatrice é stata la più cortese e professionale, indirizzandomi come risolvere il problema"
3644,6285_9_906cf0ba55c5362b563e5dbe0073b0b2,Veloci
3645,6285_9_9070dd8cfa1e61adb7febbd37eead646,.....
3646,6285_9_9071993e8bd9f6ffb560eee6efde2f72,Per l’effivenga della risoluzione del problema
3648,6285_9_9093535bc54dbfe61151b53967674a31,Molto cortesi e dispinibili
3652,6285_9_90a4df0a5ca7e743251d721e11187eb6,Servizio ottimo
3653,6285_9_90a74a6a4978a28dc49064b5618b86f0,Operatore professionalmente preparato ed umanamente disponibile (che è la cosa più importante).
3654,6285_9_90ad0d72b3ffb6e054f632db155a97b5,Exelente tecnico.
3657,6285_9_90b9404fed9c69a189854936b8e13a86,"Nel complesso bene ma il problema,anche se per poco,si è ripetuto"
3659,6285_9_90c7a858f8ed20e034d0abdb7b977aec,Il tecnico in particolare mi ha risolto il problema facendo più soluzioni per trovare la velocità di linea più adeguata
3660,6285_9_90ccc7b6815a8e882f3c489995051fd7,In questo caso sono stati bravi
3663,6285_9_90f45db84769034f61df34297eb4174a,Sono stato contattato nel giro di un'ora dalla segnalazione e l'operatore è stato gentile e disponibile
3664,6285_9_9104042ef57226813f8d2aa32267be4f,"Competenze, rapidità, gentilezza"
3665,6285_9_911814983d076a37043a975f232870fb,"Efficienza, rapidità e competenza dell'operatore ."
3666,6285_9_911a9cc05086036bb1f66b7a0102b29d,Gli operatori molto gentili e disponibili
3667,6285_9_912ff69499b086882801720c6b279ef5,Perché ho avuto una efficiente risoluzione
3668,6285_9_91525fe5fbaad636ff5598709b7972af,Soddisfazione correttezza operatore
3669,6285_9_9157ae075b6acfff13823c8dc40daf0e,Tempistica nella risoluzione del problema
3670,6285_9_91587b8571826e219d59d87461cf017d,Un buon voto.
3674,6285_9_917277851ea8189e17799b28adfaea9a,Per la cortesia e gentilezza
3677,6285_9_9181f9c97abe5a53d0d60f109eb2e451,Sono soddisfatto del servizio
3679,6285_9_91a255609c20c3c77f69d67b65b5f2e4,Velocità e competenza
3682,6285_9_91a99320015d98df548624e9ea812be3,Test tecnici effettuati da remoto dall'operatore che ha gestito la chiamata e il giorno seguente la soluzione con l'intervento del tecnico
3683,6285_9_91b011b5ef8607e16558396bcb43830d,Per che nonostante più di una chiamata alla fine anno capito il problema è l'anno risolto.
3687,6285_9_91cc470c1ab427f8edf147cfd5b2f7d8,Competenza cortesia e rapidità
3689,6285_9_91d8b2414e563c947d634bab3243ea79,I tecnici sono intervenuti tempestivamente considerato i giorni del fine settimana. Il problema comunque non si risolve. Ogni fine settimane ci sono cadute di connessione per i troppi utenti collegati
3695,6285_9_91fd2298ab15667b14881d8c83116266,Gentilezza operatore
3696,6285_9_9204ac77eddda1e89982eceb69fbeba8,Non è facile trovare la disponibilità e la gentilezza in una operatrice telefonica come è successo a me. Il tecnico è stato preciso e competente.
3697,6285_9_920f76beb8cde2b153e4d291f4a1229d,Esperienza
3698,6285_9_922b6d8c3d60fc9ec35d61e72af3b31e,Operatore molto gentile
3699,6285_9_922cbc12f291407a9c53c3d334f0d78d,Internet
3700,6285_9_923f0c7c5a5f2786f1e706c75a594baf,Per l'efficienza del servizio
3702,6285_9_9253c07026f5857d1768f781c29e091e,Ottimo
3703,6285_9_9272ca47593a5bf02704f890d8bf2b69,"Risolto il problema, abbastanza velocemente. Il tecnico preparato e disponibile."
3704,6285_9_9274eaceaef6ae46aeb7db988ec10937,"Ottimo per la velocità ed efficacia, all’esito. Non il massimo voto perché un po’ reticente sulle domande dell’utente (sui passaggi successivi, su cosa fare in caso di inefficacia dell’intervento,ecc)"
3705,6285_9_9275676bf7006db45af85385c75a9b52,Velocità  Corrrettezza Sms informativi
3706,6285_9_92833b82d018af7a89b9e55a7bc2feed,Meritato
3707,6285_9_929be363c6bd01eb6846e09b69b450fb,Ottimo servizio e ottima operatrice. Molto gentile.
3708,6285_9_92a4811b1f2634913f2b4a2476d9ec7d,ottimo riscontro
3709,6285_9_92a5e01d16a238b22754b90148f38296,Perché  hanno risolto il problema con solerzia e definitivo
3712,6285_9_92b7fdc7ad08e51616de978231d9aacd,Intervento  effettuato  in tempi ragionevoli
3713,6285_9_92ba67957775e6cccf20e5bf3e7c0047,Semplicità e celerità
3714,6285_9_92bb5c17f27e025fed87ae16e9d0e09c,Mi sono trovato molto bene con la assistenza e con il tecnico a cui mi sono rivolto
3715,6285_9_92c2ce3876bb9899b871915c7293c672,Per la rapidità ed efficienza dimostrate dall'operatore
3716,6285_9_92e24184c05a7aa1f8f88a5712936795,Tim conosceva il problema è mi ha informato esattamente sulle modalità e sulle tempistiche di risoluzione
3717,6285_9_92e7855c4019c18b7a3c339ff94b4436,Per la cortesia e la competenza dell'operatore e per la risposta ricevuta inerente il problema presentatori.
3719,6285_9_931fde2160060780740753d6e26e5d53,Il voto sarebbe molto più alto se non avessi dovuto fare più di una segnalazione prima della risoluzione del problema
3720,6285_9_9326831a65a07fc854870adfee4fe9f2,Per la gentilezza degli operatori
3721,6285_9_93432073609fa69352f97a331188844e,Perche ho parlato con un operatore molto conpetente. Un cal center italiano
3722,6285_9_93492ff15b3729b7ed28c42a95d73793,Il tehnico molto gentile
3725,6285_9_93a23fa71cfdf07fe21e7e5d2e0da2ef,Eccellente gestione chiamata
3726,6285_9_93acf4498c7a1da9d6fc67ab48e8dc18,Efficienza e disponibilità in ogni aspetto.
3730,6285_9_93dcbb5d04a1424df6e4389b6c568afa,In quanto il tecnico con cui ho parlato è stato esaudite.
3731,6285_9_93e51c577af228b6fd98b647dd2af6cf,Il motivo è nelle precedenti risposte.
3734,6285_9_9408a2738723a9258e0e6b1bf695031f,Velocità
3736,6285_9_94266c604c86630aaf7b34f00970a338,Perché preferisco parlare con un operatore e non con un risponditore automatico
3737,6285_9_942850d1bd7e2d0cebd3f5da7216d0fa,Perché è stata risolta nell'arco di breve tempo e mi sono state date tutte le informazioni relative alla momentanea disfunzione. Ottimo servizio.
3738,6285_9_943323fa1fb19ff2c55d6d3ed076cf6b,Ho dovuto chiamare più volte e la risoluzione non è avvenuta nei tempi preventivati
3739,6285_9_9457c2c633e346014a77c61602408c20,Ottimo servizio
3740,6285_9_9462b4414b985a94b524b1c1ac245c5d,Molto efficiente
3741,6285_9_946d42d62bade29c36cf4bb57d3fcbf3,C’e qualche difficoltà telefonando. Per il resto il servizio è ottimo.
3743,6285_9_948ee50dc57502d0f41cd1b4462c70a5,Perché lo stesso giorno della segnalazione il tecnico mi ha contattato e tramite telefono abbiamo risolto il problema.
3744,6285_9_9492cc57b5c8923a0659cf33f429bc9b,L'operatore è stato gentile e disponibile
3745,6285_9_949723d697ccaf44c74a31ca5cd04b88,Perché laproblematica e stata subito evidenziata alla fonte senza fare controlli vari che avrebbero allungato l intervento
3746,6285_9_94a771e1c6a8fc5e5a4cf65173e22f1f,Tempi e competenze come da richiesto
3747,6285_9_94b33af66ae055b47bbdc704a09650b9,"In realtà il tecnico non e' uscito il giorno dell'appuntamento, ma ha telefonato. e' fastidioso che la faccenda venga trattata come se l'intervento sia avvenuto..."
3748,6285_9_94c065b00fbdc0c7897040daa5cd618c,Problema risolto
3749,6285_9_94c40d24eca20960899c80597d8f22c9,Anche se sollecitato il problema è stato risolto senza ulteriori problemi
3752,6285_9_94e9c68a7dc90a55a1bbacfedf0957fe,Per la cortesia dell'operatrice e le spiegazioni avute
3753,6285_9_94f6b19a48fa1fa9a30c15a75bfc3332,TELECOM è efficiente e celere nel risolvere i problemi
3758,6285_9_9536553fea97a135eb34155362b80dfb,"Competenza, precisione e tempestività"
3762,6285_9_956779f1121630ebc21687213471ee61,Professionalità e competenza
3763,6285_9_9588f0c2903dd7bf525d50d165d5cbbb,Sia per la competenza che per la gentilezza dimostrata. Grazie.
3764,6285_9_959487d6d587334630d2decb56b7f760,Ottimo servizio di assistenza
3765,6285_9_959c1471f83e2452869bf83c1d5644ec,Soddisfatto
3766,6285_9_95a417ffe87f9751685e7bada582e9df,Per certificare la vostra professionalita
3768,6285_9_95c3fc8b4badce3f0f545f8936613752,Velocità e cortesia
3769,6285_9_95d365de7ef035190f395629401d7481,Perché sono stati efficienti
3770,6285_9_95d8d2bd3c4781c3e170a375fca04170,Efficacia e disponibilità dell'operatore
3772,6285_9_95dd6ea04bdefe977bb2098ab463b69d,"L'operatore Fabio, è stato gentilissimo. Molto preparato, ha saputo consigliarmi anche su altre problematiche tecniche non appartenenti alla segnalazione."
3773,6285_9_95e6c3e95e36f44cff1abb2403bcfa44,"Nulla da dire sulla soluzione che, come sempre, è risolutiva. Mi aspettavo di essere contattato un pochino prima ma non essendo stato così urgente il mio problema ritengo comunque buona l’assistenza."
3774,6285_9_95fcd21c70cabb46152be0131453239f,Perche sono soddisfatto del servizio
3775,6285_9_960542ad7ce59e052511c10797f88695,Sono stata contattata subito e molto gentilme
3777,6285_9_96105ed405b27f54978dc1d6793f57ae,Disponibilità e gentilezza da parte dell'operatore
3778,6285_9_96124ce841aa8ef9544bb07e2cc2ea2e,.
3782,6285_9_96389a7f6a3d3134d68297e5d464394f,Si é risolto
3783,6285_9_963d7f3877faac434c42d5171b38e080,.
3784,6285_9_964c6b83f059bebc0c2fe1a154de11ee,Perché sono 2 volte che cambio il modem e sinceramente sembra un Po scadente..si aziona solo co telecomando
3785,6285_9_967a1bca6d0e8b4a927faa96227dd6c2,Perchè l'intervento è stato temporeneamente efficacie ma rilevo ancora cadute di connessione 1 o 2 volte al giorno.
3786,6285_9_969fa44d428c33e67c799e5140ae4e3d,Soddisfatto
3787,6285_9_96afd4b518f52abb4fe2d314a1a047f5,Perché siete stati bravi
3788,6285_9_96b12e348b95f715b98526342362d848,Per la celerità e gentilezza
3790,6285_9_96d1d0d546143c39e77eb1dc897f9342,Perché ho dovuto parlare con operatore Rumeno che nn capisce bene italiano
3791,6285_9_96d4fbd6a7f52c3fc4a8588dbc39eb65,Presa a carico del problema in tempo reale e diluizione professionale
3792,6285_9_96dcc16f776767378daa54ef5b35ec8f,Problema risolto con tempistiche lunghe dalka prima segnalazione avvenuta un mese fa
3794,6285_9_96efe0cd1c98e925c05f5df724ea4b61,È stato risolto il problema in tempi brevi e con la massima efficienza
3797,6285_9_96fe5d9a08eb60eae7bf2ba6e25fa2b9,"Nel complesso il quasto è stato risolto,però credo che non sia del tutto risolto, devo verificare quando piovera'o tira il vento"
3798,6285_9_970e14d2b9c235b356c3c030155a7eca,"Per la gentilezza e pazienza di alcuni operatori, soprattutto l'ultimo che con estrema diligenza e pazienza ha saputo risolvere il mio problema e consigliaemi."
3800,6285_9_9718c0a9697835c63d0a1b67f7780234,Per la gentilezza e predisposizione dell'operatore.
3802,6285_9_971fe51ddacdd1d67b3be58e27fb4da6,Mi sembra congruo
3805,6285_9_9746c000a819dc3c1a6958935621ddf0,","
3806,6285_9_974df5281e172209b28fa752bb4d2233,"Nel complesso sono stato contento perché iltecnico é uscito quasi subito.Sperando che il problema sia risolto, perché questa sarebbela seconda volta per lo stesso motivo di caduta continua della linea"
3808,6285_9_9759116c50cf139a92fcdc0560266695,perché Tim mi sta deludendo molto! A partire dalla linea telefonica mobile a quella internet fissa! Non rispetta per niente le offerte che propone per rete fissa
3810,6285_9_9768d1a1fb2d84cbe82c0a41eb612b29,L ultima operatrice è  stata corretta e precisa altre vage
3812,6285_9_97701c353d7403e381169fbacbee66d3,Ff
3813,6285_9_97766cb906ab922a496a76ee08434289,nel complesso ho avuto buon servizio
3814,6285_9_9778b793df1facf70fefc16f4c64f3f3,Per la gentilezza e competenza fell'operatrice
3815,6285_9_97796c19024962d7b1601b6b5e1b24d3,"Perché l'intervento è stato tempestivo ,chiaro e risolutivo.Inoltre gli operatori sono stati gentili e disponobili"
3819,6285_9_97a65149d67d7a93f042b84c3b8c526f,Buono
3821,6285_9_97ab2e26d9ec8b8ff42c5dd59fe090a4,Perché l'operatore è stato efficente
3822,6285_9_97ac4c306689edb3ba73e0895dc20e60,Perché mi sono trovata bene
3826,6285_9_97ca6d04f0110321f293a0fdf037f453,Servizio celere
3827,6285_9_97d1cca15e49836d4ce866f92a98658f,La ragazza che ha risposto è stata gentilissima e efficentissima (cio' non era avvenuto nelle antecedenti telefonate x la risoluzione delle solite problematiche)
3828,6285_9_97eaf9b1d6fb851eb63dc25f04311a77,La risposta del tecnico è scarsa
3830,6285_9_97eeaf725b51d19bde4b02c205b5f959,"Perché la ragazza al telefono è stata precisa, velocissima e soprattutto disponibilissima e gentile!!"
3833,6285_9_97faeb24ea82e74dd88d3726c3adec78,Il problema è stato risolto tempestivamente
3836,6285_9_98161ecc004a6ccc5fbad6c819db1ea4,"Con la mia linea navigo a 25 mega anziché 40 mega ""il minimo contrattuale""come dice in bolletta"
3837,6285_9_981cc6dbe96735041fb028a1e6da2751,Le prime 2 chiamate non hanno risolto il problema alla 3 con un operatore competente ho risolto
3838,6285_9_981e42bfcd2d4aae562d069bf867ea5e,Servizio ottimale
3839,6285_9_982da639fd8de1e0c749f786a305ef95,L’ultimo operato che mi ha servisti è gestito gentile disponibile e praprato
3840,6285_9_9830f024975a19d8df67ea435978c5c5,Reputo giusto il sia x il tecnico che per l'operatore al telefono.
3842,6285_9_9836932b681974dd257bd6e31c85c47d,Perché di si
3843,6285_9_983751e49b4c6e4859e562ba9fe848cb,Assistenza e tecnico disponibili
3844,6285_9_983a4c26429166087829e0aa74eb35b4,"c'è stata difficoltà nel capire l'origine del problema data la ftth 1000 nuova. i tecnici sono stati molto professionali, ciononostante 11 giorni senza linea sono troppi e Tim avrebbe potuto risarcire"
3845,6285_9_9846785c166bb85c928b6ee5b4a19b05,Per la velocità fella soluzione del problema
3846,6285_9_984af7c5f9583069f3f057c994c08bff,"L’intervento non è stato immediato, ma in seguito è stato molto accurato."
3847,6285_9_986b5b91b33ad06ff8ed020a74b014c3,Personale molto gentile
3848,6285_9_9882c96deb166eb5bbd4b245be14d1c5,Veloci e efficenti
3851,6285_9_98a0c9dd2c8280235ed35a5033734b2a,Sodisfatto
3852,6285_9_98b00b80ea0f16a6a5b58ed8c36d161c,Son stati tempestivamente a mia disposizione x risolvere problema
3856,6285_9_98ebcd6f1a2e50ab6731a83ab439e495,Molto cordiali e disponibili
3858,6285_9_99147a7014ac0830dcdba3e026ce5b50,Velocità e cortesia
3861,6285_9_9956a53c14d2b2e303c7b31ec1cb613f,Operatrice telefonica gentilissima è preparata tecnico molto professionale e meticoloso ha tenuto conto della mia rete interna parte cablata e parte WiFi e mi ha evitato di dover riconfigurare il rout
3862,6285_9_9964a8e4cfcd170396c0b4f849c14ff6,Personale molto competente disponibile e gentile
3864,6285_9_997531fca70bb0f7802a6ebded8aae1e,"La segnalazione del guasto via myFisso funziona perfettamente, e hanno risolto il problema. L’assistenza al telefono è un punto interrogativo che dovreste risolvere"
3865,6285_9_997c806cb33f0d2270f9e5ab5e74e7e2,Era un problema dipendente dal mio PC come abbiamo potuto stabilire con l'operatore
3866,6285_9_99824dd4a38c304067f11506770d97a8,sono rimasto soddisfatto anche se ieri sera giorno 22.1.18 allle ore 03 di notte si e staccata di nuovo la connessione e ritornata da sola il mattino comunque tutto ok speriamo per sempre
3867,6285_9_9983b7f7b22c4d0334022bbfb38542d4,Non ho ancora ricevuto risposte di nessi tipo ne un si è neppure un no!
3869,6285_9_998b41acb8b57089ec04a2240ca67f68,"Servizio buono nel complesso, ma la tecnologia del mio modem è delicata e a volte instabile per Via del blocco improvviso del modem fibra . Inoltre la velocità garantita di minimo 60 mega non è reale"
3870,6285_9_998c53b206c34167ce3695570c123d9f,Efficienti
3872,6285_9_999e65a1bb38c27443f376dcf6bdd302,Pienamente soddisfatto
3873,6285_9_99a5e42564ada495965a8f20b12fe1df,"Per velocità, preparazione e consigli."
3874,6285_9_99b78e72ab402373713d4bcee952ca63,Sono serviti due interventi e due segnalazioni prima di capire il problema
3876,6285_9_99c4c367c9a2106dab7d44de56c615ee,Per la disponibilità e la professionalità dell’operatrice
3877,6285_9_99d086e3e8eb7971774b24b6ac64a657,Perché ho dovuto segnalare più volte guasto ancora non risolto.
3878,6285_9_99f2a07aa2845903a208d4976864199f,Tutto sommato il servizio è buono
3879,6285_9_9a060df3d6e4c646feaf4073a8a7e3f7,Perché il problema si ripresenta spesso
3880,6285_9_9a19425c047c324bd23467e193f1111d,Perchè sono rimasto soddisfatto
3881,6285_9_9a2b6c4163273e5fa93850b7eee83efb,Perché non mi sono stati comunicati i tempi di riparazione e dopo una settimana il problema è stato riscontrato altre 2 volte.
3883,6285_9_9a3b1bef2300f0b7f98a63cfa8651a13,Per la velocità dell'intervento
3884,6285_9_9a3edd54bb04f6023fe630c0e9533bcd,Per la celerità
3886,6285_9_9a4137da7f6bda291c09c06a1278c0b1,La linea ultimamente era bloccata varie volte
3887,6285_9_9a43ce6bc19af31e69f2b620be134ef0,Per spingere l'azienda a migliorare il servizio offerto.
3889,6285_9_9a5ed6b114784ab338e99296163802d4,Per la gentilezza e cortesia dell'operatore
3892,6285_9_9a97d627fba1aa9e29e010f964de1a37,Per la professionalità sia dell'operatore e del tecnico
3893,6285_9_9a99b5b89b726a5989e589a46c6d5040,Assistenza ottima ma problema non risolto
3894,6285_9_9ac4d49be66a0748ac331fa7f6f812bc,"Troppo tempo di attesa al 187 con interruzione alla risposta; tecnico mi ha avvertito pochi minuti prima, fortunatamente ero in casa."
3895,6285_9_9ac5b9085b8c543c093852f0fba82d85,Ottima assistenza
3896,6285_9_9ac64e35fcace7cc01ae6bec88875b40,"Per la completezza, la competenza e la celerità dell’intervento"
3897,6285_9_9ac7a7d65ea2f1bb60b9350020899bbb,Soddisfatto
3899,6285_9_9ada008c447bb70912c70c0ca7d57273,Servizio discreto
3901,6285_9_9ae1db909231e07ce820eb7be77b6869,"Sono rimasto complessivamente soddisfatto, anche se per risolvere il problema ho dovuto contattare telefonicamente l’assistenza più di una volta"
3902,6285_9_9ae5d7c71a0191c32d7567937cecabf8,Operatore gentile e preparato
3903,6285_9_9ae6f2ea2fffe5041760eaebf3fa9454,È andato tutto bene
3904,6285_9_9ae7bf48628c9aa2c27cec3a8e7426c0,Perché ancora non va bene
3905,6285_9_9afbe1f489ae95f480e6373c0a10f770,Gli inconvenienti tecnici solitamente sono gestiti bene.Ma quando si tratta di domande commerciali ogni operatore ha sempre una risposta differente.
3907,6285_9_9b13cf023899f32de8f9e64be0a75601,Perché mi sembra strano che alcuni aggiornamenti avvengano automaticamente mentre per altri bisogna che il PC si fermi e non cammini per poi chiamare l'assistenza per risolvere il problema.
3909,6285_9_9b25631663463a94f943e5f8c5ac0c51,"Immediata risposta, educazione, disponibilità"
3911,6285_9_9b4dc2955f7121cc0d4f1fe3f54562c0,Un po'difficoltoso entrare nel sito my tim fisso
3912,6285_9_9b56eba1cd84aaaac6cf06500f70d90a,Perché la risoluzione completa del problema risulta a pagamento
3913,6285_9_9b60aae713a86bd00a2ff1b179bc9d26,Perché ci sono operatori che sanno fare il proprio lavoro e altri meno
3914,6285_9_9b6f21f766ca8ad2d89d2d4cb2be29b3,"La segnalazione del disservizio era stata precedentemente effettuata, la segnalazione è stata passata come SOS PC, senza che sia stato messo in atto alcun intervento per risolvere il problema."
3915,6285_9_9b7255ca03ebbca8bb06eb53b8f91845,Velocità ed efficienza
3922,6285_9_9baf0217e9fe25ef6cb87b6cc0bed5a9,Gentilezza celerità
3923,6285_9_9bb300d6e25206326a4b609f03add274,efficienza operatore
3925,6285_9_9bbb7e733783de09271a70a344eeb8dc,Penso che si può fare di più. Grazie
3927,6285_9_9bebc64b7257575dcee225c50a64514b,Perché si è risolto velocemente
3929,6285_9_9bf980cfe78f1cc56c261bf33edd186c,Cortesia ed efficenza
3934,6285_9_9c248f6831ded7b77ba82546da19afbe,Disponibilità dell’operatore
3935,6285_9_9c25a4dd1cb9d63ec499b4ea1a90b8ed,"Per la competenza, professionalità e disponibilità del vostro tecnico.   Cordiali saluti"
3937,6285_9_9c34c0d90cc84d9222904063c38fb44c,Grande capacità tecnica dell'operatore
3938,6285_9_9c396cc3742473284a6bcc8b49d5e6be,Perché sono stati Gentili e hanno risolto subito il mio problema
3940,6285_9_9c49f49801678116ca1a26849e41ab3d,Tempestività e cortesia
3942,6285_9_9c4d25cf0468c534b2d1f6fead894904,"L'operatrice é  stata ""professionista"""
3945,6285_9_9c5dd30fe6699a60971eeac6a9ccb431,"Perché il problema è stato risolto da sede dal vs operatore, facendomi spegnere e riaccendere il modem, e ripristinando la linea."
3946,6285_9_9c6ea9789ebc6cad985431a4b8752729,Molto valido l'intervento dell'operatore al 187 che ha aperto x mio conto la segnalazione di gusto e poi la telefonata di un operatore tecnico che mi preannunciava un problema di Alice mail generale.
3947,6285_9_9c76db2980dc46742febbb655209b902,Molto disponibilità
3950,6285_9_9c97b10bce6babb09e3c1e352a4c3a58,A seguito della verifica del tecnico ho avuto prontamente la sostituzione del modem. E con esso ho risolto il problema
3951,6285_9_9c989c941297ec084528067b2b0ae532,Operatore oltre ad essere molto competente ( ha capito immediatamente il problema) è stato di una educazione da me inaspettata e cordialiassimo
3954,6285_9_9cda42e4864cf443eef399e6162b14e3,Tutto bene
3955,6285_9_9ce394fa7c3f2f5e9b8e302dcc127970,Sono rimasto soddisfatto del servizio anche se a causa delle feste sono dovuto stare senza internet per tre giorni.
3956,6285_9_9d0857a31db4e734dc2332f6351d6619,"Prontezza, professionalità e gentilezza"
3957,6285_9_9d14ec1f41efabff136456c9701764ed,Ok
3958,6285_9_9d2302ee258796fef048f22bf0a68617,"Soddisfatta. Mi piacerebbe che se il problema è su un intero quartiere e non sulla mia linea, mi venisse segnalato anche con email o sms, così da evitare inutili chiamate all'assistenza. Grazie"
3960,6285_9_9d2d966e75a5dfe5b1e527174b3df047,Tutto bene
3962,6285_9_9d3ead619ce9a67c7dd0eefa7238202d,Competenza e cortesia
3963,6285_9_9d4c253580e5dba4822e5e9093c6525b,Troppo lungo il tempo stimato per il ripristino
3964,6285_9_9d639e587b38f5dde3b2b2f38c12a113,L'operatrice è stata gentile e competente. Ha risolto la criticità con  sollecitudine.
3966,6285_9_9d91402fc6b79085023b180e582f899f,Per la competenza e cortesia del tecnico  che ha fatto l intervento in casa.
3967,6285_9_9d9ef0ee5cbac3b142d471081d095551,Cordiali e tecnici
3968,6285_9_9db8307a4ac0baead3c83582d31bcb43,Per la rapidità e l'efficienza dell'intervento
3969,6285_9_9dc26bf82b3d981f908c76bda20df35f,Disponibile e professionale
3970,6285_9_9de6e127cbbe033a381ae6fe267adaf2,Operatori e tecnico molto competenti e molto gentili.Grazie mille!..
3971,6285_9_9dfba61f0b4887de2dc6b95af3672a78,Professionalità e serieta
3974,6285_9_9e438c4c2be2785cd6f0d8270455cdf1,Servizio veloce e assistenza corretta
3978,6285_9_9e65bdfca0a40d3d07f593d1ee51c8da,Il problema è stato risolto
